year	rcp26	rcp45	rcp60	rcp85
1860	-0.017507113821181974	-0.01402967479674544	-0.013209552845523831	-0.008958943089453442
1861	-0.015557113821159874	0.005695325203248558	-0.008417886178847311	0.010632723577202796
1862	-0.00910711382118734	-0.008054674796767358	-0.00702621951211313	0.001016056910543739
1863	-0.01098211382111458	-0.01147134146344797	-0.020367886178803474	-0.0037756097561327806
1864	-0.0018071138212008009	-0.0035630081301292194	-0.012067886178840581	0.00433272357719261
1865	0.0039012195121586046	0.0010203252032283672	-0.008234552845522103	0.008274390243911967
1866	0.0049095528454472515	0.005003658536566036	0.002057113821194889	0.009016056910525094
1867	0.027584552845496546	0.029845325203211814	0.02455711382123127	0.03018272357718388
1868	0.029667886178856406	0.03701199186991744	0.0337237804878896	0.04149105691050181
1869	0.05865121951222818	0.06437865853655467	0.07204044715450664	0.0625577235771857
1870	0.06553455284552001	0.058870325203258744	0.06765711382121253	0.0640827235772008
1871	0.059601219512217085	0.05961199186987187	0.06940711382111431	0.0662243902438604
1872	0.0615928861788575	0.05412032520320054	0.06584044715452819	0.0569327235771766
1873	0.09244288617890106	0.07745365853662634	0.10401544715449518	0.0846577235772088
1874	0.10165955284554684	0.08500365853655012	0.10099044715451555	0.09108272357724445
1875	0.10091788617887687	0.08315365853655976	0.08980711382116624	0.08880772357724709
1876	0.05713455284558222	0.05807865853654448	0.050357113821178245	0.06232439024387304
1877	0.07143455284551692	0.05649532520322964	0.06511544715453965	0.0594160569104929
1878	0.05691788617889415	0.05035365853660778	0.04958211382114541	0.049366056910514544
1879	0.06605121951213277	0.06828699186991116	0.07127378048784294	0.06497439024388996
1880	0.08265955284548454	0.07105365853652756	0.08584044715456685	0.0641660569105511
1881	0.10788455284546217	0.08875365853657513	0.11115711382120708	0.08476605691055283
1882	0.11175121951214351	0.09478699186985295	0.10389044715452656	0.09082439024388123
1883	0.04401788617889224	0.020595325203203174	0.053923780487821205	0.02019105691056211
1884	-0.2507321138211296	-0.2419630081300852	-0.2590845528455361	-0.23781727642278838
1885	-0.269623780487791	-0.24222134146344843	-0.27237621951218216	-0.23596727642274118
1886	-0.18556544715443124	-0.16929634146339367	-0.1717262195122089	-0.16556727642279156
1887	-0.15344878048779265	-0.15121300813012795	-0.16028455284549636	-0.1477672764227691
1888	-0.11047378048778	-0.10331300813010103	-0.1117012195122129	-0.10776727642280548
1889	-0.09330711382114032	-0.09202967479677682	-0.08917621951212595	-0.10096727642275027
1890	-0.10514044715444015	-0.09384634146346116	-0.09448455284547208	-0.09735894308943216
1891	-0.14959878048784958	-0.12617967479678782	-0.13950121951216943	-0.12791727642280648
1892	-0.09755711382115351	-0.08889634146345315	-0.09166788617881139	-0.0926006097561185
1893	-0.03481544715441487	-0.032288008130080925	-0.048134552845510825	-0.03915894308948964
1894	0.00036788617887850705	0.001978658536529565	-0.004726219512122043	-0.0046839430894465295
1895	0.04938455284548127	0.04237032520319417	0.052732113821150506	0.041124390243851394
1896	0.05057621951220881	0.03446199186987542	0.04326544715451064	0.031199390243898506
1897	0.023892886178884964	0.03809532520318726	0.01671544715446771	0.026149390243915605
1898	0.030676219512201897	0.04097032520326138	0.02820711382122454	0.035624390243867765
1899	0.06746788617886068	0.07416199186991435	0.07072378048786732	0.05699105691053319
1900	0.07854288617886596	0.07675365853657468	0.07930711382113032	0.06389939024387559
1901	0.08200955284553402	0.0766369918698615	0.07783211382121635	0.0659827235771786
1902	0.06485121951220663	0.05347032520325001	0.06285711382116688	0.042899390243917424
1903	-0.13229044715444616	-0.13166300813014686	-0.14711788617881894	-0.13870894308951165
1904	-0.10983211382114177	-0.09682967479676563	-0.1257178861788475	-0.10663394308943452
1905	-0.05355711382117079	-0.03471300813015432	-0.046117886178819845	-0.0392922764228274
1906	-0.013457113821118583	-0.01011300813007665	0.000240447154510548	-0.01926727642279502
1907	0.014084552845474718	0.01695365853657904	0.0262487804878333	0.000916056910568841
1908	0.04156788617888196	0.04092865853652938	0.04010711382119325	0.024407723577155593
1909	0.047526219512178614	0.06392865853655394	0.049298780487845306	0.04841605691052564
1910	0.0814095528455141	0.09065365853655294	0.08283211382115496	0.07677439024382693
1911	0.08327621951224273	0.08432032520317989	0.10022378048785185	0.07070772357718624
1912	0.04913455284554402	0.043536991869871144	0.052157113821238	0.0326910569104939
1913	-0.004782113821079292	-0.01488800813007174	-0.004834552845466078	-0.02154227642273554
1914	0.05411788617885804	0.042545325203207085	0.05384878048784003	0.03827439024388468
1915	0.10144288617880193	0.08440365853658705	0.09929878048785667	0.08086605691056548
1916	0.10409288617881884	0.09672032520319362	0.10280711382119989	0.08700772357718733
1917	0.11977621951217543	0.11501199186989197	0.12777378048787114	0.10834939024385903
1918	0.1537095528455552	0.1371286585365965	0.17447378048785822	0.12977439024376736
1919	0.1431345528455381	0.13651199186989516	0.14043211382119125	0.13365772357718697
1920	0.1790262195121386	0.1669536585365563	0.16785711382118507	0.16089105691048644
1921	0.1805428861788414	0.16859532520328457	0.1931821138211376	0.16445772357718624
1922	0.1853012195122119	0.1654203252032289	0.19141544715449754	0.16145772357720034
1923	0.18789288617887223	0.17613699186989606	0.1938321138212018	0.17163272357714732
1924	0.20538455284548718	0.18506199186992944	0.20781544715447353	0.17885772357726637
1925	0.20492621951217416	0.18557865853659905	0.2317487804878624	0.18614939024388377
1926	0.20578455284550046	0.1859703252032432	0.2258571138211778	0.19093272357719115
1927	0.23327621951216315	0.206395325203232	0.2522237804877818	0.20409939024381174
1928	0.22281788617885923	0.19919532520322036	0.23120711382119907	0.20263272357721007
1929	0.1960678861788665	0.18585365853658686	0.2041321138212311	0.18835772357721225
1930	0.202451219512227	0.18005365853656485	0.21552378048789933	0.17624939024386777
1931	0.21104288617891598	0.18577032520323655	0.22036544715450646	0.18514939024390742
1932	0.22310121951215933	0.19388699186993108	0.2499571138211536	0.19263272357716232
1933	0.19929288617885277	0.1765786585365845	0.21421544715451546	0.17657439024384303
1934	0.19862621951222081	0.1726203252031837	0.21325711382115742	0.176041056910492
1935	0.2487512195122008	0.21284532520326138	0.2522654471545138	0.2087493902438382
1936	0.2673262195122561	0.23743699186996992	0.26519878048782175	0.23117439024383657
1937	0.2900678861788606	0.2573786585365383	0.3045404471545794	0.26009105691053946
1938	0.27558455284554384	0.250020325203252	0.2832154471545323	0.2529827235771904
1939	0.26332621951218016	0.24949532520321327	0.266732113821206	0.24659105691051764
1940	0.25585121951223755	0.24357865853659177	0.2735821138211918	0.24336605691047453
1941	0.28492621951215824	0.2683536585365687	0.2896321138211988	0.26749105691055775
1942	0.2807678861788645	0.2602536585365556	0.2887821138211848	0.25504939024386886
1943	0.2619512195121274	0.24979532520325165	0.27382378048781675	0.2468993902438683
1944	0.27997621951215024	0.25312865853658195	0.2683987804878143	0.25164939024381283
1945	0.29035955284552983	0.2618703252032333	0.28790711382117706	0.26179939024387977
1946	0.29005121951217916	0.2687036585365945	0.2975821138211927	0.26279105691054383
1947	0.2944845528454607	0.27733699186995864	0.2882404471545783	0.27079105691058203
1948	0.3114428861788383	0.28905365853660214	0.30478211382120435	0.2855827235771926
1949	0.3152845528454691	0.3032786585366125	0.32859878048788005	0.2977410569105814
1950	0.2820928861788161	0.28422865853656276	0.29305711382124855	0.2824160569105061
1951	0.280959552845502	0.28527032520321427	0.2878821138211265	0.27192439024389614
1952	0.2856512195122036	0.2720619918698617	0.2860404471545053	0.26323272357723226
1953	0.2696012195121966	0.2627369918699287	0.26209044715454866	0.2580910569105299
1954	0.28357621951215606	0.27054532520327257	0.2711071138211878	0.2703743902438305
1955	0.2878012195121755	0.27645365853658177	0.27808211382114223	0.2661327235771864
1956	0.3000095528454949	0.287770325203212	0.29792378048779256	0.2733577235771918
1957	0.32653455284548727	0.31092865853656804	0.31144044715455266	0.29595772357720307
1958	0.3231845528455324	0.2987703252032361	0.3196154471544901	0.2911077235772268
1959	0.31267621951218416	0.3019119918699289	0.32145711382116815	0.2907243902439518
1960	0.333559552845486	0.32271199186993726	0.3404904471545933	0.3112410569105464
1961	0.3280095528455149	0.31052865853655476	0.3378154471545258	0.2991327235772019
1962	0.3051845528455601	0.28585365853655276	0.28839878048785295	0.27491605691056975
1963	0.2265512195122028	0.219161991869953	0.21684044715453865	0.2087993902438825
1964	0.0828845528454849	0.08022865853649819	0.06939878048780201	0.07519105691051209
1965	0.11673455284551437	0.12342865853656804	0.10403211382123345	0.11258272357719079
1966	0.17173455284557804	0.1602703252032711	0.15680711382123036	0.15098272357715814
1967	0.21239288617886132	0.19597865853648955	0.19749878048781966	0.187216056910529
1968	0.22024288617888033	0.21053699186990116	0.18854044715448026	0.20244939024382802
1969	0.1997345528455412	0.2048703252032169	0.1759237804878353	0.1915660569105171
1970	0.23507621951216606	0.23506199186988397	0.22664044715457976	0.22234105691052264
1971	0.29070955284555566	0.28504532520327075	0.2642487804878897	0.2733743902438164
1972	0.31315955284554775	0.3037203252032441	0.28273211382122554	0.29594105691052164
1973	0.31878455284555685	0.3068703252032492	0.2980237804878243	0.2999827235772159
1974	0.3362095528455029	0.3146119918698673	0.3107487804878133	0.30625772357723235
1975	0.3103345528455179	0.2947203252031727	0.28079878048788487	0.2882410569105218
1976	0.326101219512168	0.302936991869899	0.3080987804877964	0.29251605691052873
1977	0.35965121951215906	0.34784532520319544	0.34985711382120144	0.3371160569105882
1978	0.41094288617887287	0.4069453252032531	0.390490447154491	0.4034493902439067
1979	0.4496095528455726	0.43795365853651447	0.42723211382116233	0.428199390243833
1980	0.48608455284551155	0.46397865853651865	0.45480711382117534	0.4489160569105479
1981	0.5170678861788929	0.4997453252032642	0.490507113821252	0.48491605691060613
1982	0.4570178861788463	0.43910365853656685	0.4400737804878645	0.42968272357717296
1983	0.34008455284549655	0.3293953252032793	0.322232113821201	0.32624939024390187
1984	0.40765955284553	0.4046869918699372	0.3842571138211497	0.3992993902438684
1985	0.4582845528454982	0.44737865853659287	0.4297987804878858	0.44209939024386813
1986	0.5004428861788028	0.48139532520320927	0.46769044715455266	0.46298272357716996
1987	0.5493262195121815	0.5327619918699043	0.5312487804878856	0.5172827235772388
1988	0.5907095528455102	0.5715286585365789	0.5762237804879078	0.555532723577187
1989	0.6213262195121843	0.6037619918698738	0.5957821138212012	0.5948993902438247
1990	0.6877512195121653	0.6614286585365221	0.6552654471545338	0.6499410569105635
1991	0.6216762195122101	0.6060619918699217	0.5841571138212203	0.5936077235771791
1992	0.375876219512179	0.38299532520323964	0.33441544715452665	0.3769993902438955
1993	0.44821788617889524	0.4465953252031909	0.4130071138212088	0.43544105691057666
1994	0.5217012195121811	0.5245119918699288	0.4784571138211504	0.5136410569105578
1995	0.5999428861788374	0.5910619918698785	0.5568237804878322	0.5806577235772465
1996	0.6870012195121262	0.6645703252032718	0.6475237804879157	0.6554577235771717
1997	0.747626219512199	0.7287369918698801	0.702748780487866	0.7191243902438487
1998	0.7603178861788251	0.747895325203217	0.735623780487856	0.7299827235772227
1999	0.7969178861789032	0.7752703252032234	0.7748154471544808	0.7601993902439403
2000	0.8511345528455081	0.8284786585365396	0.8154237804878903	0.8157327235772414
2001	0.9076262195121672	0.8884286585364976	0.8882321138212319	0.8757243902438745
2002	0.9514845528454998	0.9191036585366419	0.9264654471544418	0.8980660569105225
2003	0.9654428861788347	0.9227036585365909	0.9258987804878984	0.9089660569105149
2004	0.9764595528455402	0.9463036585365785	0.9402071138212023	0.9308160569104871
2005	1.0089178861788355	0.9744286585365671	0.9783237804878127	0.9519827235772027
2006	1.0132845528455618	0.9903619918699178	0.9849321138211735	0.9687243902438354
2007	1.030426219512151	0.997153658536547	0.9869237804878708	0.9622160569105063
2008	1.0438845528454976	1.0075953252032264	0.9985487804878517	0.989282723577162
2009	1.0522678861788108	1.0244536585365722	1.0240487804878171	1.0224910569104964
2010	1.071901219512256	1.0511203252032146	1.0138987804878639	1.037724390243909
2011	1.0975428861788714	1.0674036585365911	1.0481987804878372	1.0424577235771721
2012	1.1471345528455572	1.0941703252032084	1.0700487804878662	1.0734410569105535
2013	1.164026219512209	1.146153658536548	1.1042404471544955	1.128224390243929
2014	1.2128845528454804	1.1742786585364797	1.1410904471545678	1.1573993902438815
2015	1.2250262195121877	1.1697619918699047	1.149365447154537	1.1966660569105443
2016	1.242709552845497	1.2042869918698784	1.1539987804878251	1.2260327235771342
2017	1.2402928861788496	1.2194953252032406	1.1668654471544642	1.2408577235772213
2018	1.2725678861788197	1.2254703252032755	1.1920404471545112	1.2425577235771925
2019	1.2937678861788413	1.2469703252032218	1.213498780487896	1.2649993902438723
2020	1.3097512195122363	1.2629786585366105	1.2380904471545477	1.3004660569105226
2021	1.3311762195122014	1.3058619918699037	1.230957113821205	1.35888272357721
2022	1.3582428861788571	1.3244786585365773	1.235865447154481	1.4044327235772016
2023	1.3933928861788445	1.3667369918699137	1.2801487804878775	1.4110743902438685
2024	1.3974178861788573	1.4063536585365455	1.3005237804878789	1.4261243902438423
2025	1.4217678861788272	1.4276703252032803	1.3436571138211661	1.4869493902438649
2026	1.4462095528455734	1.4707786585366307	1.3551321138211847	1.5535410569105466
2027	1.4563095528455392	1.4880869918698636	1.3727071138212068	1.5663243902438921
2028	1.4491845528455656	1.4967619918699029	1.411773780487863	1.604457723577184
2029	1.4762178861788016	1.5139369918699117	1.404740447154552	1.6280243902438656
2030	1.5064345528454623	1.5193369918699204	1.398198780487803	1.622307723577137
2031	1.51204288617879	1.5579119918699007	1.4552071138211886	1.6582410569105264
2032	1.5141428861788313	1.5893703252032765	1.4539071138212307	1.703157723577192
2033	1.5253595528455435	1.601336991869914	1.4604987804878533	1.7329493902438458
2034	1.5377928861788064	1.6301953252032035	1.5029821138211332	1.7768327235771153
2035	1.545601219512264	1.6490369918699344	1.5240404471545048	1.812466056910523
2036	1.566634552845585	1.6746619918698684	1.5227904471545344	1.8555827235772426
2037	1.5876345528454863	1.7112786585365711	1.5554821138211992	1.8834577235771803
2038	1.6271095528455248	1.7338286585365381	1.5938737804877974	1.92198272357723
2039	1.617217886178878	1.74510365853655	1.6149154471544875	1.9911327235772092
2040	1.6421512195121863	1.7804369918698626	1.6104404471545308	2.021949390243833
2041	1.6580678861788556	1.8000869918698754	1.6748237804878272	2.0413493902438518
2042	1.6412262195121912	1.8156036585365882	1.6892987804878317	2.0713577235772505
2043	1.6399345528454887	1.8385203252032056	1.6897154471544695	2.1442410569105164
2044	1.6487428861788658	1.8600453252032025	1.7175321138212212	2.181949390243858
2045	1.6639262195122342	1.872011991869897	1.7376321138211779	2.188732723577175
2046	1.6873762195122026	1.9009536585365368	1.7674571138211945	2.2407493902438205
2047	1.6782428861788503	1.9338286585365836	1.7902321138212187	2.3117410569105346
2048	1.6939095528455255	1.9428119918698599	1.8054821138211423	2.3505160569105783
2049	1.7008095528455556	1.977461991869916	1.8238404471545664	2.3634493902438862
2050	1.7010845528455434	2.0042036585365395	1.827365447154591	2.449207723577217
2051	1.6866262195122204	2.0251453252032547	1.853515447154507	2.4789493902438267
2052	1.707501219512153	2.0305203252032697	1.8959654471545377	2.5171327235772765
2053	1.7103178861788706	2.061278658536537	1.9263487804878423	2.5771910569105785
2054	1.6930678861788238	2.0650786585366063	1.9391821138211753	2.6065743902439067
2055	1.6998262195122606	2.105611991869921	1.964023780487878	2.659507723577235
2056	1.72605955284547	2.1036536585365297	1.9613071138211922	2.7014743902438454
2057	1.6953178861787706	2.1154953252031987	1.9742654471545507	2.751449390243863
2058	1.6988345528455397	2.158470325203268	2.038615447154541	2.811091056910527
2059	1.7131512195121559	2.1881786585365717	2.0612987804878458	2.8408743902438687
2060	1.7289428861788565	2.2155619918698335	2.080923780487808	2.906566056910549
2061	1.736951219512207	2.2074786585365587	2.0975987804878855	2.96854105691051
2062	1.7324012195122123	2.200345325203216	2.1252321138211983	3.0027660569105024
2063	1.7138928861788827	2.2304953252032647	2.123815447154527	3.0512077235771926
2064	1.6789845528455771	2.267903658536568	2.150748780487845	3.0999827235771704
2065	1.706442886178877	2.2768953252032134	2.1713071138212285	3.1466160569105455
2066	1.6989928861788712	2.2836786585365303	2.2389404471545618	3.201716056910527
2067	1.7109178861788905	2.3010536585365458	2.2550237804878748	3.253566056910529
2068	1.6935262195121936	2.29711199186994	2.29883211382122	3.2778077235771548
2069	1.698592886178858	2.292336991869888	2.314098780487882	3.326782723577196
2070	1.7040845528454724	2.3255453252031657	2.343965447154517	3.372124390243812
2071	1.7086845528455115	2.345211991869803	2.396748780487883	3.4283910569105274
2072	1.6843678861788476	2.3646036585365664	2.4006487804878702	3.478891056910527
2073	1.689192886178887	2.387711991869878	2.430407113821218	3.5270577235771725
2074	1.6868095528454887	2.3714869918698582	2.4606404471545034	3.583174390243869
2075	1.7039595528455038	2.3794786585365273	2.4883654471545356	3.6272827235772525
2076	1.7093928861788754	2.392661991869886	2.503398780487828	3.667066056910528
2077	1.6848012195122237	2.4192869918699103	2.5367571138211247	3.7254743902438463
2078	1.680109552845522	2.447728658536562	2.5810237804878398	3.759857723577227
2079	1.6786012195121884	2.4635203252032056	2.6322737804878784	3.816024390243797
2080	1.674201219512213	2.4572536585365583	2.6463737804878633	3.8560993902438554
2081	1.6704012195121436	2.453920325203228	2.6464904471545765	3.908082723577195
2082	1.6801928861788156	2.4711286585365997	2.6815154471545384	3.940757723577235
2083	1.6696678861788996	2.4653119918698962	2.7073904471545234	3.975641056910547
2084	1.6607845528455414	2.4807703252031956	2.7573154471545536	4.016549390243881
2085	1.6614928861788485	2.484070325203163	2.7851237804878224	4.075357723577156
2086	1.6771262195122745	2.503761991869908	2.8049654471545296	4.127057723577138
2087	1.694842886178833	2.487361991869875	2.8223237804878636	4.176466056910556
2088	1.6868595528454762	2.4832786585365625	2.837923780487813	4.224782723577221
2089	1.677384552845524	2.517445325203255	2.877132113821176	4.277741056910543
2090	1.6904262195122328	2.5222703252032375	2.921073780487859	4.334457723577202
2091	1.674242886178888	2.5107453252032315	2.9348821138211747	4.404116056910482
2092	1.6957928861788218	2.506128658536511	2.9163487804878514	4.440607723577216
2093	1.6959178861788473	2.499345325203251	2.9433654471545196	4.467582723577209
2094	1.6984512195120942	2.5096119918698605	2.9666237804878506	4.517674390243883
2095	1.6840512195121846	2.544278658536598	3.016265447154524	4.56631605691058
2096	1.679226219512202	2.5481453252032225	2.997115447154556	4.620391056910535
2097	1.6963012195121792	2.533036991869892	3.0068404471545023	4.7012993902438325
2098	1.671651219512114	2.566370325203252	3.047623780487811	4.7252660569104705
2099	1.6819262195121496	2.567395325203222	3.0687154471544886	4.75349939024386
2100	1.6727262195121853	2.5776369918699515	3.0908904471545497	4.8232660569105406
