"Observed Temperature anomalies, yearly averages (Jan-Dec) from 1880 to 2019",,,,,
,,,,,
Baseline period: (Jan 1961 â€“ Dec 1990),,,,,
Data sources:,,,,,
hadcrut4: https://www.metoffice.gov.uk/hadobs/hadcrut4/data/current/download.html,,,,,
gistemp: https://data.giss.nasa.gov/gistemp/,,,,,
noaa: https://www.ncdc.noaa.gov/monitoring-references/faq/anomalies.php#anomalies,,,,,
berkeley: http://berkeleyearth.org/archive/data/,,,,,
cowtan_way: https://www-users.york.ac.uk/~kdc3/papers/coverage2013/series.html,,,,,
,,,,,
year,hadcrut4,gistemp,noaa,berkeley,cowtan_way
1880,-0.22626666666666664,-0.26,-0.2561388888888889,-0.3938666666666667,-0.29624166666666657
1881,-0.19926666666666668,-0.17000000000000004,-0.21947222222222224,-0.28086666666666665,-0.23574166666666665
1882,-0.21226666666666666,-0.2,-0.2328055555555556,-0.3428666666666667,-0.294325
1883,-0.2952666666666667,-0.26,-0.31613888888888897,-0.3888666666666667,-0.34807499999999997
1884,-0.40826666666666667,-0.38000000000000006,-0.40113888888888893,-0.5558666666666666,-0.5101583333333333
1885,-0.38826666666666665,-0.42000000000000004,-0.386138888888889,-0.5188666666666667,-0.489825
1886,-0.36626666666666674,-0.4,-0.37863888888888886,-0.5498666666666666,-0.46007500000000007
1887,-0.4172666666666667,-0.45000000000000007,-0.41530555555555565,-0.5678666666666666,-0.49890833333333334
1888,-0.3062666666666667,-0.27,-0.26530555555555557,-0.3628666666666667,-0.34607499999999997
1889,-0.17026666666666668,-0.2,-0.2253055555555556,-0.24686666666666668,-0.212825
1890,-0.4152666666666667,-0.44000000000000006,-0.4803055555555556,-0.5318666666666667,-0.4609083333333333
1891,-0.3292666666666667,-0.32,-0.3894722222222223,-0.4278666666666667,-0.3696583333333333
1892,-0.4542666666666667,-0.37000000000000005,-0.4411388888888889,-0.47986666666666666,-0.4745749999999999
1893,-0.4722666666666666,-0.41000000000000003,-0.4619722222222223,-0.46986666666666665,-0.443325
1894,-0.40926666666666667,-0.4,-0.44197222222222227,-0.4538666666666667,-0.4149083333333333
1895,-0.38926666666666665,-0.32,-0.37363888888888896,-0.3758666666666667,-0.38290833333333335
1896,-0.1852666666666667,-0.21000000000000002,-0.22863888888888895,-0.27886666666666665,-0.21524166666666666
1897,-0.20526666666666668,-0.2,-0.23113888888888895,-0.2588666666666667,-0.22340833333333335
1898,-0.41126666666666667,-0.36000000000000004,-0.40363888888888894,-0.4738666666666667,-0.449575
1899,-0.28826666666666667,-0.27,-0.28780555555555554,-0.29286666666666666,-0.3032416666666667
1900,-0.20226666666666668,-0.18000000000000002,-0.20697222222222228,-0.18586666666666668,-0.19024166666666667
1901,-0.25826666666666664,-0.25,-0.2886388888888889,-0.26886666666666664,-0.23624166666666668
1902,-0.40126666666666666,-0.38000000000000006,-0.3919722222222222,-0.4138666666666667,-0.38640833333333335
1903,-0.4782666666666666,-0.47000000000000003,-0.5094722222222222,-0.5128666666666667,-0.467825
1904,-0.5192666666666667,-0.56,-0.5944722222222223,-0.5578666666666666,-0.514575
1905,-0.37626666666666664,-0.36000000000000004,-0.4178055555555556,-0.3968666666666667,-0.35515833333333335
1906,-0.28226666666666667,-0.32,-0.3461388888888889,-0.3288666666666667,-0.26865833333333333
1907,-0.4642666666666667,-0.48000000000000004,-0.5203055555555556,-0.4968666666666667,-0.4309083333333333
1908,-0.5102666666666666,-0.52,-0.5703055555555555,-0.5208666666666666,-0.468575
1909,-0.5212666666666667,-0.58,-0.5819722222222222,-0.5838666666666666,-0.5227416666666667
1910,-0.4892666666666666,-0.53,-0.5428055555555555,-0.5518666666666666,-0.4974916666666667
1911,-0.5432666666666667,-0.54,-0.5803055555555555,-0.5698666666666666,-0.517325
1912,-0.4362666666666667,-0.45000000000000007,-0.4753055555555556,-0.5048666666666666,-0.44515833333333327
1913,-0.4232666666666667,-0.44000000000000006,-0.4553055555555556,-0.4638666666666667,-0.40882499999999994
1914,-0.24326666666666666,-0.25,-0.27780555555555564,-0.29086666666666666,-0.23465833333333333
1915,-0.14026666666666665,-0.24000000000000005,-0.22947222222222224,-0.23186666666666667,-0.16907500000000003
1916,-0.38226666666666664,-0.46,-0.4586388888888889,-0.47586666666666666,-0.4042416666666667
1917,-0.4672666666666666,-0.56,-0.5311388888888889,-0.5858666666666666,-0.5049916666666666
1918,-0.3322666666666666,-0.39,-0.43863888888888886,-0.4378666666666667,-0.370575
1919,-0.27426666666666666,-0.37000000000000005,-0.38530555555555557,-0.35386666666666666,-0.3097416666666667
1920,-0.24626666666666666,-0.37000000000000005,-0.36530555555555566,-0.3388666666666667,-0.270575
1921,-0.18626666666666666,-0.29000000000000004,-0.29780555555555555,-0.2668666666666667,-0.21107500000000004
1922,-0.3012666666666667,-0.38000000000000006,-0.38030555555555556,-0.36186666666666667,-0.30074166666666663
1923,-0.27526666666666666,-0.36000000000000004,-0.3869722222222222,-0.3428666666666667,-0.28349166666666664
1924,-0.2932666666666667,-0.37000000000000005,-0.3778055555555556,-0.3338666666666667,-0.26924166666666666
1925,-0.21426666666666666,-0.32,-0.3153055555555556,-0.29486666666666667,-0.23749166666666668
1926,-0.10726666666666668,-0.21000000000000002,-0.20780555555555558,-0.14886666666666665,-0.09665833333333332
1927,-0.20926666666666666,-0.32,-0.30780555555555555,-0.26886666666666664,-0.20149166666666668
1928,-0.20526666666666668,-0.30000000000000004,-0.3186388888888889,-0.24486666666666668,-0.178325
1929,-0.3492666666666666,-0.46,-0.4653055555555556,-0.4378666666666667,-0.3594083333333333
1930,-0.13626666666666665,-0.26,-0.2478055555555556,-0.20786666666666664,-0.13765833333333333
1931,-0.08626666666666666,-0.19,-0.20030555555555557,-0.15186666666666668,-0.07865833333333333
1932,-0.13626666666666665,-0.26,-0.2669722222222223,-0.1938666666666667,-0.12649166666666664
1933,-0.27226666666666666,-0.39,-0.3936388888888889,-0.3778666666666667,-0.286575
1934,-0.13026666666666667,-0.23000000000000004,-0.24697222222222226,-0.23986666666666667,-0.148575
1935,-0.17726666666666668,-0.30000000000000004,-0.2936388888888889,-0.28686666666666666,-0.18032499999999999
1936,-0.14626666666666666,-0.25,-0.2553055555555556,-0.23086666666666666,-0.13865833333333336
1937,-0.025266666666666666,-0.13,-0.14697222222222225,-0.05986666666666667,0.011841666666666676
1938,-0.005266666666666664,-0.10000000000000002,-0.1561388888888889,-0.05586666666666667,0.006175000000000005
1939,-0.05126666666666667,-0.12000000000000002,-0.1286388888888889,-0.08086666666666667,-0.017241666666666666
1940,0.014733333333333334,0.029999999999999985,0.020527777777777728,0.017133333333333334,0.06384166666666667
1941,0.020733333333333336,0.08999999999999998,0.13552777777777775,-0.01986666666666667,0.049425000000000004
1942,-0.026266666666666667,-0.030000000000000013,-0.028638888888888894,-0.05986666666666667,-0.0011583333333333333
1943,-0.0032666666666666642,-0.010000000000000023,-0.030305555555555586,-0.01886666666666667,0.03350833333333334
1944,0.14473333333333335,0.09999999999999999,0.1446944444444444,0.07513333333333332,0.14117499999999997
1945,0.025733333333333337,-0.010000000000000023,0.04386111111111113,-0.05086666666666667,0.013008333333333342
1946,-0.07026666666666666,-0.17000000000000004,-0.14363888888888893,-0.12586666666666668,-0.07382499999999999
1947,-0.03726666666666666,-0.13,-0.16947222222222225,-0.02786666666666667,-0.004158333333333327
1948,-0.038266666666666664,-0.21000000000000002,-0.18947222222222226,-0.1348666666666667,-0.07482499999999999
1949,-0.07326666666666667,-0.21000000000000002,-0.20863888888888893,-0.17186666666666667,-0.12149166666666664
1950,-0.17226666666666668,-0.27,-0.2878055555555556,-0.23986666666666667,-0.20699166666666668
1951,-0.05126666666666667,-0.17000000000000004,-0.13447222222222224,-0.06686666666666667,-0.03599166666666665
1952,0.028733333333333333,-0.09000000000000002,-0.08947222222222226,0.006133333333333324,0.03925833333333333
1953,0.09773333333333332,-0.020000000000000018,-0.006138888888888888,0.06713333333333334,0.10350833333333335
1954,-0.12826666666666667,-0.23000000000000004,-0.2353055555555556,-0.12886666666666668,-0.09874166666666667
1955,-0.18926666666666667,-0.24000000000000005,-0.2661388888888889,-0.17886666666666667,-0.16690833333333335
1956,-0.26626666666666665,-0.29000000000000004,-0.31780555555555556,-0.2518666666666667,-0.222825
1957,-0.0062666666666666634,-0.05000000000000002,-0.06530555555555559,-0.01886666666666667,0.0019250000000000057
1958,0.046733333333333335,-0.04000000000000002,-0.011972222222222231,-0.007866666666666668,0.02234166666666669
1959,0.017733333333333337,-0.07000000000000002,-0.056138888888888946,-0.028866666666666672,-0.006408333333333327
1960,-0.048266666666666666,-0.13,-0.08697222222222226,-0.08286666666666667,-0.05315833333333332
1961,0.038733333333333335,-0.04000000000000002,-0.041138888888888905,0.0021333333333333343,0.022175000000000007
1962,0.014733333333333334,-0.07000000000000002,-0.029472222222222233,-0.04586666666666667,-0.0066583333333333295
1963,0.04873333333333334,-0.05000000000000002,-0.016138888888888925,-0.006866666666666674,0.030591666666666677
1964,-0.22226666666666667,-0.30000000000000004,-0.2786388888888889,-0.27986666666666665,-0.2452416666666667
1965,-0.13926666666666668,-0.21000000000000002,-0.20613888888888893,-0.17486666666666667,-0.1469083333333333
1966,-0.06726666666666667,-0.16000000000000003,-0.14530555555555558,-0.10686666666666667,-0.079575
1967,-0.07326666666666667,-0.12000000000000002,-0.13697222222222225,-0.061866666666666674,-0.043325
1968,-0.11226666666666667,-0.18000000000000002,-0.1628055555555556,-0.12586666666666668,-0.10224166666666669
1969,0.032733333333333337,-0.05000000000000002,-0.030305555555555586,0.020133333333333323,0.038425
1970,-0.026266666666666667,-0.07000000000000002,-0.07780555555555557,-0.04386666666666667,-0.02240833333333333
1971,-0.1852666666666667,-0.18000000000000002,-0.20197222222222228,-0.17286666666666667,-0.159575
1972,-0.06426666666666667,-0.09000000000000002,-0.09947222222222224,-0.08086666666666667,-0.07465833333333333
1973,0.06273333333333334,0.059999999999999984,0.058027777777777706,0.048133333333333334,0.05275833333333334
1974,-0.21326666666666666,-0.17000000000000004,-0.19697222222222227,-0.17686666666666667,-0.18382500000000002
1975,-0.14826666666666666,-0.11000000000000001,-0.12280555555555558,-0.11586666666666667,-0.12815833333333335
1976,-0.24026666666666668,-0.2,-0.20280555555555557,-0.22186666666666666,-0.23874166666666669
1977,0.047733333333333336,0.07999999999999997,0.07636111111111107,0.08013333333333332,0.05317499999999999
1978,-0.061266666666666664,-0.030000000000000013,-0.020305555555555577,-0.04786666666666667,-0.05824166666666667
1979,0.05773333333333334,0.06999999999999999,0.09136111111111109,0.03713333333333334,0.024925000000000003
1980,0.09273333333333333,0.15999999999999998,0.1463611111111111,0.15913333333333335,0.13425833333333334
1981,0.14073333333333335,0.21999999999999997,0.1880277777777778,0.20413333333333333,0.18050833333333333
1982,0.011733333333333337,0.039999999999999994,0.056361111111111056,-0.007866666666666668,-0.01457499999999999
1983,0.1947333333333333,0.20999999999999996,0.2230277777777777,0.18313333333333331,0.17150833333333332
1984,-0.013266666666666663,0.059999999999999984,0.03136111111111106,0.015133333333333318,0.002425
1985,-0.029266666666666663,0.019999999999999976,0.02302777777777773,0.005133333333333337,-0.013158333333333326
1986,0.045733333333333334,0.07999999999999997,0.09969444444444445,0.06013333333333333,0.031175
1987,0.19273333333333334,0.21999999999999997,0.24636111111111114,0.19413333333333332,0.16317500000000001
1988,0.19873333333333335,0.29,0.2571944444444444,0.2341333333333333,0.21484166666666665
1989,0.11873333333333334,0.16999999999999998,0.1580277777777777,0.11613333333333332,0.104675
1990,0.2967333333333334,0.35,0.3138611111111111,0.31113333333333326,0.292675
1991,0.25473333333333337,0.31,0.25386111111111104,0.2931333333333333,0.2790916666666666
1992,0.10573333333333333,0.11999999999999998,0.10136111111111104,0.10813333333333332,0.087925
1993,0.14873333333333336,0.13,0.14469444444444446,0.13913333333333333,0.12967499999999998
1994,0.20873333333333335,0.21999999999999997,0.20969444444444446,0.19513333333333333,0.19825833333333331
1995,0.3257333333333333,0.35,0.3330277777777778,0.3421333333333333,0.3233416666666667
1996,0.18373333333333333,0.22999999999999998,0.1880277777777778,0.2441333333333333,0.2215916666666667
1997,0.3907333333333334,0.37,0.37802777777777774,0.3791333333333333,0.3715916666666667
1998,0.5397333333333334,0.51,0.516361111111111,0.5361333333333334,0.5245083333333331
1999,0.3067333333333333,0.29,0.303861111111111,0.3011333333333333,0.2814250000000001
2000,0.2947333333333333,0.3,0.29052777777777783,0.3131333333333333,0.29592500000000005
2001,0.4417333333333333,0.44,0.4346944444444445,0.45013333333333333,0.44775833333333337
2002,0.49673333333333336,0.53,0.486361111111111,0.5371333333333334,0.5128416666666666
2003,0.5057333333333334,0.52,0.5046944444444446,0.5151333333333334,0.5143416666666667
2004,0.4477333333333333,0.44,0.4480277777777777,0.42513333333333336,0.43067500000000003
2005,0.5457333333333334,0.5800000000000001,0.5330277777777777,0.6051333333333334,0.5801750000000001
2006,0.5067333333333334,0.54,0.5030277777777777,0.5541333333333334,0.530675
2007,0.49173333333333336,0.5700000000000001,0.48636111111111113,0.5611333333333334,0.5552583333333334
2008,0.3957333333333334,0.45,0.40969444444444436,0.4281333333333333,0.4228416666666667
2009,0.5067333333333334,0.56,0.5105277777777777,0.5601333333333334,0.5465083333333334
2010,0.5607333333333334,0.63,0.5896944444444445,0.6311333333333333,0.624675
2011,0.4257333333333333,0.51,0.44052777777777774,0.5121333333333333,0.48850833333333343
2012,0.47073333333333334,0.55,0.5030277777777777,0.5211333333333333,0.5117583333333334
2013,0.5147333333333334,0.5800000000000001,0.5396944444444444,0.5471333333333334,0.544425
2014,0.5797333333333333,0.65,0.6063611111111111,0.6121333333333334,0.6133416666666668
2015,0.7637333333333334,0.8,0.7946944444444444,0.7521333333333334,0.753675
2016,0.7977333333333334,0.92,0.8596944444444443,0.8881333333333333,0.8653416666666667
2017,0.6777333333333334,0.8300000000000001,0.7746944444444446,0.7731333333333333,0.7297583333333334
2018,0.5977333333333333,0.76,0.6921944444444446,0.7071333333333334,0.672925
2019,0.7367333333333334,0.89,0.8146944444444444,0.8391333333333333,0.8098416666666666
